metodo;plaza;region;sexo;edad;educacion;imagen_massa;imagen_milei;teme;votara_milei;votara_massa;ballotage_votara;votara_hoy;p9_p10;combinada;general_voto;weight1;weight2;cr1;cr2;cr3;cr4;cr5;cr6;cr7;cr8;cr9;cr10;cr11
Presencial;Guaymallén;Cuyo;Masculino;30 a 49;Nivel Primario, ya sea completo o incompleto;Algo negativa;Algo positiva;Que gane Sergio Massa;Nunca lo votaría;Nunca lo votaría;Javier Milei;;Javier Milei;Javier Milei;Patricia Bullrich de Juntos por el cambio;1.27873;1.35743;Masculino;30-49;Primario;Cuyo+Sur;Negativa;Positiva;Massa;Nunca;Nunca;Milei;Bullrich
Presencial;Guaymallén;Cuyo;Femenino;30 a 49;Nivel Primario, ya sea completo o incompleto;Algo positiva;Muy negativa;Que gane Javier Milei;Nunca lo votaría;Seguro lo votaría;Sergio Massa;;Sergio Massa;Sergio Massa;Javier Milei de la Libertad Avanza;1.33883;1.77684;Femenino;30-49;Primario;Cuyo+Sur;Positiva;Negativa;Milei;Nunca;Seguro;Massa;Milei
Presencial;Guaymallén;Cuyo;Femenino;24 a 29;Nivel Primario, ya sea completo o incompleto;Algo negativa;Algo negativa;Que gane Sergio Massa;No sabe/ está indeciso;No sabe/ está indeciso;Está indeciso;Indeciso;Está indeciso;Está indeciso;Javier Milei de la Libertad Avanza;1.33648;1.68642;Femenino;24-29;Primario;Cuyo+Sur;Negativa;Negativa;Massa;;;Indeciso/Blano/No;Milei
Presencial;Guaymallén;Cuyo;Femenino;30 a 49;Nivel Primario, ya sea completo o incompleto;No conoce/ no tiene opinión;No conoce/ no tiene opinión;Que gane Sergio Massa;Podría llegar a votarlo;Nunca lo votaría;Está indeciso;Javier Milei;Javier Milei;Javier Milei;No fué a votar;1.33883;0.13681;Femenino;30-49;Primario;Cuyo+Sur;;;Massa;Podría;Nunca;Milei;No fue
Presencial;Guaymallén;Cuyo;Masculino;30 a 49;Nivel Primario, ya sea completo o incompleto;Algo positiva;Algo negativa;Que gane Javier Milei;Nunca lo votaría;Seguro lo votaría;Sergio Massa;;Sergio Massa;Sergio Massa;Sergio Massa de Unión por la Patria;1.27873;1.30482;Masculino;30-49;Primario;Cuyo+Sur;Positiva;Negativa;Milei;Nunca;Seguro;Massa;Massa
Presencial;Guaymallén;Cuyo;Masculino;30 a 49;Nivel Universitario o Terciario, ya sea completo o incompleto;Muy positiva;Muy negativa;Que gane Javier Milei;Nunca lo votaría;Seguro lo votaría;Sergio Massa;;Sergio Massa;Sergio Massa;Sergio Massa de Unión por la Patria;0.6965;0.69351;Masculino;30-49;Terciario;Cuyo+Sur;Positiva;Negativa;Milei;Nunca;Seguro;Massa;Massa
Presencial;Guaymallén;Cuyo;Masculino;30 a 49;Nivel Secundario, ya sea completo o incompleto;Muy negativa;Algo negativa;Que gane Sergio Massa;Podría llegar a votarlo;Nunca lo votaría;Javier Milei;;Javier Milei;Javier Milei;Javier Milei de la Libertad Avanza;0.94994;1.22622;Masculino;30-49;Secundario;Cuyo+Sur;Negativa;Negativa;Massa;Podría;Nunca;Milei;Milei
Presencial;Guaymallén;Cuyo;Femenino;Mayor de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Muy negativa;Muy negativa;Las dos posibilidades me dan el mismo miedo;Nunca lo votaría;Nunca lo votaría;Votará en blanco;;Votará en blanco;Votará en blanco;Patricia Bullrich de Juntos por el cambio;0.6893;0.70249;Femenino;50 y más;Terciario;Cuyo+Sur;Negativa;Negativa;Massa;Nunca;Nunca;Indeciso/Blano/No;Bullrich
Presencial;Guaymallén;Cuyo;Masculino;Mayor de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Muy negativa;Muy negativa;Que gane Javier Milei;Nunca lo votaría;Nunca lo votaría;Votará en blanco;;Votará en blanco;Votará en blanco;Patricia Bullrich de Juntos por el cambio;0.65836;0.66753;Masculino;50 y más;Terciario;Cuyo+Sur;Negativa;Negativa;Milei;Nunca;Nunca;Indeciso/Blano/No;Bullrich
Presencial;Guaymallén;Cuyo;Masculino;Mayor de 50;Nivel Secundario, ya sea completo o incompleto;Muy negativa;Algo positiva;Que gane Sergio Massa;Podría llegar a votarlo;Nunca lo votaría;Javier Milei;;Javier Milei;Javier Milei;Patricia Bullrich de Juntos por el cambio;0.89792;0.91214;Masculino;50 y más;Secundario;Cuyo+Sur;Negativa;Positiva;Massa;Podría;Nunca;Milei;Bullrich
Presencial;Guaymallén;Cuyo;Masculino;16 a 23;Nivel Universitario o Terciario, ya sea completo o incompleto;Algo negativa;Muy positiva;Que gane Sergio Massa;Seguro lo votaría;Nunca lo votaría;Javier Milei;;Javier Milei;Javier Milei;Myriam Bregman del Frente de Izquierda;0.81909;0.54221;Masculino;16-23;Terciario;Cuyo+Sur;Negativa;Positiva;Massa;Seguro;Nunca;Milei;Bregman
Presencial;Guaymallén;Cuyo;Femenino;16 a 23;Nivel Universitario o Terciario, ya sea completo o incompleto;Algo negativa;Muy positiva;Que gane Sergio Massa;Podría llegar a votarlo;Nunca lo votaría;Javier Milei;;Javier Milei;Javier Milei;Javier Milei de la Libertad Avanza;0.85758;1.05174;Femenino;16-23;Terciario;Cuyo+Sur;Negativa;Positiva;Massa;Podría;Nunca;Milei;Milei
