plaza;estrato;Sexo;Edad;estudios;p4;p5;p6;p7;p8;p9;p10;p11;p12;p13;p14;p15;p16;p17;p18;p19;p20;p21;p22;p23;p24;p25;p26;p27;p28;p29;p30;p31;p32;p33;p34;p35;p36;p37;p38;LARRETA;MANES;VIDAL;CFK;SCIOLI;MACRI;MASSA;BULLRICH;MILEI;LOUSTEAU;KICILLOF;SANTILLI;zona;weight
Tucumán;3;Mujer;Entre 18 y 29 años;Nivel Universitario o Terciario, ya sea completo o incompleto;Gobierne un partido político nuevo;Un liderazgo que genere diálogo y  consensos ;Si, es un impedimento;Podría llegar a votarlo;No sabe;No sabe;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Esta indeciso;Indeciso;Indeciso;Indeciso;Indeciso;Indeciso;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Ninguno de los dos;Muy buena;Buena;Buena;Muy mala;Muy mala;Buena;Muy mala;Buena;Muy mala;Buena;Muy mala;;;No sabe;Ninguna;Positiva;Positiva;Positiva;Negativa;Negativa;Positiva;Negativa;Positiva;Negativa;Positiva;Negativa;;Grandes;0.771
Tucumán;3;Mujer;Mayor de 50 años;Nivel Primario, ya sea completo o incompleto;Vuelva a gobernar Juntos por el Cambio;Un liderazgo que genere diálogo y  consensos ;Si, es un impedimento;Seguro lo votaría;Podría llegar a votarlo;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Juntos por el Cambio de Bullrich, Macri y Larreta;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Ninguno de los dos;Muy buena;Buena;Mala;Muy mala;Muy mala;Muy buena;Muy mala;Buena;Muy mala;Buena;Muy mala;;;Mauricio Macri y Miguel Pichetto;Muchas;Positiva;Positiva;Negativa;Negativa;Negativa;Positiva;Negativa;Positiva;Negativa;Positiva;Negativa;;Grandes;0.810321
Tucumán;3;Hombre;Mayor de 50 años;Nivel Secundario, ya sea completo o incompleto;Vuelva a gobernar Juntos por el Cambio;Un liderazgo firme y capaz de imponer sus ideas;Si, es un impedimento;Podría llegar a votarlo;Podría llegar a votarlo;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Juntos por el Cambio de Bullrich, Macri y Larreta;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Ninguno de los dos;Muy buena;Buena;Buena;Muy mala;Muy mala;Buena;Muy mala;Buena;Muy mala;Ns/Nc;Muy mala;;;Mauricio Macri y Miguel Pichetto;Muchas;Positiva;Positiva;Positiva;Negativa;Negativa;Positiva;Negativa;Positiva;Negativa;Ns Nr;Negativa;;Grandes;0.810321
Gba;2;Mujer;Entre 30 y 49 años;Nivel Universitario o Terciario, ya sea completo o incompleto;Siga gobernando el peronismo;Un liderazgo firme y capaz de imponer sus ideas;No, no es un impedimento;Nunca lo votaría;Nunca lo votaría;Podría llegar a votarlo;Nunca lo votaría;Podría llegar a votarlo;Seguro lo votaría;Seguro lo votaría;Frente de Todos de Cristina y Alberto Fernández;Daniel Scioli por el Frente de Todos;Daniel Scioli por el Frente de Todos;Axel Kicillof  por el Frente de Todos;Cristina Kirchner  por el Frente de Todos;Sergio Massa por el Frente de Todos;Daniel Scioli por el Frente de Todos;Ninguno de los dos;Sergio Massa por el Frente de Todos;Sergio Massa por el Frente de Todos;Muy buena;Buena;Mala;Muy buena;Buena;Mala;Buena;Muy mala;Muy mala;Buena;Buena;Buena;Axel Kicillof por el Frente de Todos;Alberto Fernández y Cristina Kirchner;Muchas;Positiva;Positiva;Negativa;Positiva;Positiva;Negativa;Positiva;Negativa;Negativa;Positiva;Positiva;Positiva;AMBA;0.711
Gba;2;Hombre;Mayor de 50 años;Nivel Secundario, ya sea completo o incompleto;Gobierne un partido político nuevo;Un liderazgo firme y capaz de imponer sus ideas;Si, es un impedimento;Seguro lo votaría;Seguro lo votaría;Nunca lo votaría;Seguro lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;La Libertad Avanza de Javier Milei;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Horacio Rodríguez Larreta por Juntos por el Cambio;Javier Milei de Avanza Libertad;Horacio Rodríguez Larreta por Juntos por el Cambio;Javier Milei de Avanza Libertad;Muy buena;Ns/Nc;Buena;Muy mala;Muy mala;Buena;Mala;Muy buena;Muy buena;Buena;Muy mala;Buena;Cristian Ritondo por Juntos;Mauricio Macri y Miguel Pichetto;Muchas;Positiva;Ns Nr;Positiva;Negativa;Negativa;Positiva;Negativa;Positiva;Positiva;Positiva;Negativa;Positiva;AMBA;0.711
Gba;2;Mujer;Mayor de 50 años;Nivel Primario, ya sea completo o incompleto;Siga gobernando el peronismo;Un liderazgo firme y capaz de imponer sus ideas;Si, es un impedimento;Podría llegar a votarlo;Podría llegar a votarlo;Podría llegar a votarlo;No sabe;Seguro lo votaría;Podría llegar a votarlo;Podría llegar a votarlo;Juntos por el Cambio de Bullrich, Macri y Larreta;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Cristina Kirchner  por el Frente de Todos;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Sergio Massa por el Frente de Todos;Muy buena;Ns/Nc;Ns/Nc;Muy buena;Buena;Buena;Buena;Buena;Ns/Nc;Ns/Nc;Muy buena;Muy buena;Axel Kicillof por el Frente de Todos;Alberto Fernández y Cristina Kirchner;Pocas;Positiva;Ns Nr;Ns Nr;Positiva;Positiva;Positiva;Positiva;Positiva;Ns Nr;Ns Nr;Positiva;Positiva;AMBA;0.747261
Pellegrini;9;Mujer;Entre 18 y 29 años;Nivel Universitario o Terciario, ya sea completo o incompleto;Siga gobernando el peronismo;Un liderazgo firme y capaz de imponer sus ideas;No, no es un impedimento;Seguro lo votaría;Podría llegar a votarlo;Podría llegar a votarlo;Podría llegar a votarlo;Seguro lo votaría;Podría llegar a votarlo;Seguro lo votaría;Frente de Todos de Cristina y Alberto Fernández;Sergio Massa por el Frente de Todos;Sergio Massa por el Frente de Todos;Axel Kicillof  por el Frente de Todos;Cristina Kirchner  por el Frente de Todos;Sergio Massa por el Frente de Todos;Daniel Scioli por el Frente de Todos;Horacio Rodríguez Larreta por Juntos por el Cambio;Sergio Massa por el Frente de Todos;Sergio Massa por el Frente de Todos;Muy buena;Buena;Mala;Muy buena;Buena;Mala;Muy buena;Buena;Buena;Ns/Nc;Muy buena;Buena;Axel Kicillof por el Frente de Todos;No sabe;Muchas;Positiva;Positiva;Negativa;Positiva;Positiva;Negativa;Positiva;Positiva;Positiva;Ns Nr;Positiva;Positiva;Chicas;1.717
Neuquén;5;Hombre;Mayor de 50 años;Nivel Secundario, ya sea completo o incompleto;Vuelva a gobernar Juntos por el Cambio;Un liderazgo firme y capaz de imponer sus ideas;No, no es un impedimento;Podría llegar a votarlo;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Juntos por el Cambio de Bullrich, Macri y Larreta;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Ninguno de los dos;Muy buena;Buena;Muy buena;Muy mala;Mala;Mala;Mala;Mala;Mala;Buena;Mala;;;Mauricio Macri y Miguel Pichetto;Muchas;Positiva;Positiva;Positiva;Negativa;Negativa;Negativa;Negativa;Negativa;Negativa;Positiva;Negativa;;Grandes;1.258047
Caba;1;Mujer;Mayor de 50 años;Nivel Universitario o Terciario, ya sea completo o incompleto;Vuelva a gobernar Juntos por el Cambio;Un liderazgo que genere diálogo y  consensos ;Si, es un impedimento;Seguro lo votaría;Podría llegar a votarlo;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Juntos por el Cambio de Bullrich, Macri y Larreta;Horacio Rodríguez Larreta por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Ninguno de los dos;Muy buena;Buena;Buena;Muy mala;Muy mala;Buena;Muy mala;Buena;Muy mala;Muy buena;Muy mala;;;Mauricio Macri y Miguel Pichetto;Muchas;Positiva;Positiva;Positiva;Negativa;Negativa;Positiva;Negativa;Positiva;Negativa;Positiva;Negativa;;AMBA;1.2958830000000001
Salta;4;Hombre;Entre 18 y 29 años;Nivel Primario, ya sea completo o incompleto;Gobierne un partido político nuevo;Un liderazgo firme y capaz de imponer sus ideas;Si, es un impedimento;No sabe;No sabe;Seguro lo votaría;Podría llegar a votarlo;Seguro lo votaría;Nunca lo votaría;No sabe;El Frente de Izquierda;Sergio Massa por el Frente de Todos;Sergio Massa por el Frente de Todos;Javier Milei por Avanza Libertad;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Daniel Scioli por el Frente de Todos;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Sergio Massa por el Frente de Todos;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Mala;Muy buena;Muy buena;Muy buena;Ns/Nc;Muy buena;;;Alberto Fernández y Cristina Kirchner;Muchas;Positiva;Positiva;Positiva;Positiva;Positiva;Negativa;Positiva;Positiva;Positiva;Ns Nr;Positiva;;Grandes;0.917
Salta;4;Hombre;Mayor de 50 años;Nivel Universitario o Terciario, ya sea completo o incompleto;Vuelva a gobernar Juntos por el Cambio;Un liderazgo que genere diálogo y  consensos ;Si, es un impedimento;Podría llegar a votarlo;Podría llegar a votarlo;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Juntos por el Cambio de Bullrich, Macri y Larreta;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Ninguno de los dos;Muy buena;Buena;Buena;Muy mala;Mala;Mala;Muy mala;Mala;Mala;Mala;Muy mala;;;Mauricio Macri y Miguel Pichetto;Muchas;Positiva;Positiva;Positiva;Negativa;Negativa;Negativa;Negativa;Negativa;Negativa;Negativa;Negativa;;Grandes;0.9637669999999999
Miramar;7;Mujer;Entre 18 y 29 años;Nivel Secundario, ya sea completo o incompleto;Vuelva a gobernar Juntos por el Cambio;Un liderazgo firme y capaz de imponer sus ideas;No, no es un impedimento;Seguro lo votaría;Podría llegar a votarlo;Nunca lo votaría;Podría llegar a votarlo;Nunca lo votaría;Podría llegar a votarlo;Nunca lo votaría;Juntos por el Cambio de Bullrich, Macri y Larreta;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Javier Milei de Avanza Libertad;Muy buena;Buena;Mala;Muy mala;Muy mala;Buena;Buena;Buena;Buena;Ns/Nc;Muy mala;Ns/Nc;José Luis Espert por la Libertad Avanza ;Mauricio Macri y Miguel Pichetto;Muchas;Positiva;Positiva;Negativa;Negativa;Negativa;Positiva;Positiva;Positiva;Positiva;Ns Nr;Negativa;Ns Nr;Chicas;0.908064
Miramar;7;Mujer;Entre 30 y 49 años;Nivel Secundario, ya sea completo o incompleto;Gobierne un partido político nuevo;Un liderazgo firme y capaz de imponer sus ideas;Si, es un impedimento;Seguro lo votaría;Seguro lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Juntos por el Cambio de Bullrich, Macri y Larreta;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Javier Milei de Avanza Libertad;Muy buena;Ns/Nc;Muy buena;Muy mala;Muy mala;Buena;Mala;Muy buena;Ns/Nc;Ns/Nc;Muy mala;Ns/Nc;Diego Santilli por Juntos;Roberto Lavagna;Muchas;Positiva;Ns Nr;Positiva;Negativa;Negativa;Positiva;Negativa;Positiva;Ns Nr;Ns Nr;Negativa;Ns Nr;Chicas;0.908064
La Rioja;6;Mujer;Entre 30 y 49 años;Nivel Secundario, ya sea completo o incompleto;Gobierne un partido político nuevo;Un liderazgo firme y capaz de imponer sus ideas;Si, es un impedimento;Podría llegar a votarlo;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Juntos por el Cambio de Bullrich, Macri y Larreta;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Ninguno de los dos;Muy buena;Ns/Nc;Mala;Muy mala;Mala;Mala;Mala;Muy mala;Muy mala;Ns/Nc;Buena;;;Alberto Fernández y Cristina Kirchner;Muchas;Positiva;Ns Nr;Negativa;Negativa;Negativa;Negativa;Negativa;Negativa;Negativa;Ns Nr;Positiva;;Grandes;1.116162
La Rioja;6;Mujer;Entre 18 y 29 años;Nivel Universitario o Terciario, ya sea completo o incompleto;Vuelva a gobernar Juntos por el Cambio;Un liderazgo que genere diálogo y  consensos ;No, no es un impedimento;Seguro lo votaría;Podría llegar a votarlo;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Juntos por el Cambio de Bullrich, Macri y Larreta;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Sergio Massa por el Frente de Todos;Muy buena;Ns/Nc;Buena;Muy mala;Muy mala;Buena;Mala;Buena;Mala;Ns/Nc;Muy mala;;;Mauricio Macri y Miguel Pichetto;Muchas;Positiva;Ns Nr;Positiva;Negativa;Negativa;Positiva;Negativa;Positiva;Negativa;Ns Nr;Negativa;;Grandes;1.116162
La Rioja;6;Mujer;Mayor de 50 años;Nivel Primario, ya sea completo o incompleto;Gobierne un partido político nuevo;Un liderazgo firme y capaz de imponer sus ideas;Si, es un impedimento;Seguro lo votaría;Nunca lo votaría;Nunca lo votaría;Podría llegar a votarlo;Podría llegar a votarlo;Nunca lo votaría;Nunca lo votaría;Juntos por el Cambio de Bullrich, Macri y Larreta;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Javier Milei de Avanza Libertad;Muy buena;Ns/Nc;Buena;Buena;Mala;Muy mala;Muy mala;Muy mala;Buena;Ns/Nc;Mala;;;Alberto Fernández y Cristina Kirchner;Muchas;Positiva;Ns Nr;Positiva;Positiva;Negativa;Negativa;Negativa;Negativa;Positiva;Ns Nr;Negativa;;Grandes;1.116162
La Rioja;6;Mujer;Entre 18 y 29 años;Nivel Universitario o Terciario, ya sea completo o incompleto;Vuelva a gobernar Juntos por el Cambio;Un liderazgo que genere diálogo y  consensos ;Si, es un impedimento;Seguro lo votaría;Nunca lo votaría;Nunca lo votaría;Podría llegar a votarlo;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Juntos por el Cambio de Bullrich, Macri y Larreta;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Javier Milei de Avanza Libertad;Muy buena;Mala;Buena;Buena;Mala;Muy buena;Mala;Mala;Mala;Mala;Mala;;;Mauricio Macri y Miguel Pichetto;Muchas;Positiva;Negativa;Positiva;Positiva;Negativa;Positiva;Negativa;Negativa;Negativa;Negativa;Negativa;;Grandes;1.116162
La Rioja;6;Mujer;Entre 30 y 49 años;Nivel Universitario o Terciario, ya sea completo o incompleto;Gobierne un partido político nuevo;Un liderazgo que genere diálogo y  consensos ;Si, es un impedimento;Seguro lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Juntos por el Cambio de Bullrich, Macri y Larreta;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Ninguno de los dos;Muy buena;Mala;Mala;Mala;Mala;Mala;Mala;Mala;Mala;Mala;Mala;;;Alberto Fernández y Cristina Kirchner;Muchas;Positiva;Negativa;Negativa;Negativa;Negativa;Negativa;Negativa;Negativa;Negativa;Negativa;Negativa;;Grandes;1.116162
Huillapima;9;Hombre;Entre 30 y 49 años;Nivel Primario, ya sea completo o incompleto;Gobierne un partido político nuevo;Un liderazgo firme y capaz de imponer sus ideas;Si, es un impedimento;Podría llegar a votarlo;Nunca lo votaría;Nunca lo votaría;No sabe;Nunca lo votaría;Nunca lo votaría;No sabe;La Libertad Avanza de Javier Milei;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Horacio Rodríguez Larreta por Juntos por el Cambio;Javier Milei de Avanza Libertad;Horacio Rodríguez Larreta por Juntos por el Cambio;Javier Milei de Avanza Libertad;Muy buena;Ns/Nc;Ns/Nc;Buena;Buena;Mala;Mala;Ns/Nc;Buena;Ns/Nc;Ns/Nc;;;Alberto Fernández y Cristina Kirchner;Muchas;Positiva;Ns Nr;Ns Nr;Positiva;Positiva;Negativa;Negativa;Ns Nr;Positiva;Ns Nr;Ns Nr;;Chicas;1.717
Caba;1;Mujer;Entre 18 y 29 años;Nivel Universitario o Terciario, ya sea completo o incompleto;Vuelva a gobernar Juntos por el Cambio;Un liderazgo que genere diálogo y  consensos ;Si, es un impedimento;Seguro lo votaría;Seguro lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Juntos por el Cambio de Bullrich, Macri y Larreta;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Sergio Massa por el Frente de Todos;Muy buena;Buena;Muy buena;Muy mala;Muy mala;Muy buena;Mala;Buena;Muy mala;Mala;Mala;;;Mauricio Macri y Miguel Pichetto;Muchas;Positiva;Positiva;Positiva;Negativa;Negativa;Positiva;Negativa;Positiva;Negativa;Negativa;Negativa;;AMBA;1.2958830000000001
Gba;2;Hombre;Entre 30 y 49 años;Nivel Secundario, ya sea completo o incompleto;Vuelva a gobernar Juntos por el Cambio;Un liderazgo firme y capaz de imponer sus ideas;Si, es un impedimento;Seguro lo votaría;No sabe;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Juntos por el Cambio de Bullrich, Macri y Larreta;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Ninguno de los dos;Muy buena;Buena;Buena;Muy mala;Muy mala;Buena;Muy mala;Buena;Mala;Mala;Muy mala;Muy buena;Diego Santilli por Juntos;Mauricio Macri y Miguel Pichetto;Muchas;Positiva;Positiva;Positiva;Negativa;Negativa;Positiva;Negativa;Positiva;Negativa;Negativa;Negativa;Positiva;AMBA;0.747261
Gba;2;Mujer;Entre 30 y 49 años;Nivel Secundario, ya sea completo o incompleto;Vuelva a gobernar Juntos por el Cambio;Un liderazgo que genere diálogo y  consensos ;Si, es un impedimento;Seguro lo votaría;Podría llegar a votarlo;Nunca lo votaría;No sabe;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Juntos por el Cambio de Bullrich, Macri y Larreta;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Ninguno de los dos;Muy buena;Buena;Buena;Muy mala;Muy mala;Buena;Mala;Mala;Muy mala;Buena;Muy mala;Muy buena;Diego Santilli por Juntos;Mauricio Macri y Miguel Pichetto;Muchas;Positiva;Positiva;Positiva;Negativa;Negativa;Positiva;Negativa;Negativa;Negativa;Positiva;Negativa;Positiva;AMBA;0.747261
Gba;2;Mujer;Mayor de 50 años;Nivel Universitario o Terciario, ya sea completo o incompleto;Vuelva a gobernar Juntos por el Cambio;Un liderazgo firme y capaz de imponer sus ideas;Si, es un impedimento;Seguro lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Juntos por el Cambio de Bullrich, Macri y Larreta;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Javier Milei de Avanza Libertad;Muy buena;Buena;Buena;Muy mala;Muy mala;Buena;Mala;Mala;Ns/Nc;Ns/Nc;Muy mala;Buena;Diego Santilli por Juntos;Mauricio Macri y Miguel Pichetto;Muchas;Positiva;Positiva;Positiva;Negativa;Negativa;Positiva;Negativa;Negativa;Ns Nr;Ns Nr;Negativa;Positiva;AMBA;0.747261
Gba;2;Mujer;Entre 18 y 29 años;Nivel Universitario o Terciario, ya sea completo o incompleto;Vuelva a gobernar Juntos por el Cambio;Un liderazgo firme y capaz de imponer sus ideas;Si, es un impedimento;Seguro lo votaría;Podría llegar a votarlo;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Juntos por el Cambio de Bullrich, Macri y Larreta;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Ninguno de los dos;Muy buena;Buena;Buena;Muy mala;Muy mala;Buena;Muy mala;Buena;Muy mala;Buena;Muy mala;Muy buena;Diego Santilli por Juntos;Mauricio Macri y Miguel Pichetto;Muchas;Positiva;Positiva;Positiva;Negativa;Negativa;Positiva;Negativa;Positiva;Negativa;Positiva;Negativa;Positiva;AMBA;0.747261
