plaza;estrato;metodo;sexo;edad;estudios;paso_sufragara;paso_votaria;p5o;p6;paso_importa;pondedad;pondestudios;pondedadestudios;pondestrato;pondedadestudiosestrato;pondestudios2;pondedadestudiosestratoestudios2;pondedad2;pondedadestudiosestratoestudios2edad2;pondsexo;pondedadestudiosestratoestudios2edad2sexo;PROBABILIDAD_VOTO_PASO;IMPORTANCIA_PASO
Corrientes;5;Presencial;Masculino;30 a 49;Nivel Secundario, ya sea completo o incompleto;Muy probable;Horacio Rodríguez Larreta – Gerardo Morales de Juntos por el Cambio;;10 Seguro votará;Muy importante;1.03463732782369;0.979268073305836;1.0131873025882034;1.0935240727094;1.1079447055437035;1.00269534323067;1.1109309968057475;1.00796058633095;1.119774658913548;1.02399045775466;1.146638565562952;Probable;Importante
Santa Fe;4;Presencial;Femenino;30 a 49;Nivel Secundario, ya sea completo o incompleto;Muy probable;Horacio Rodríguez Larreta – Gerardo Morales de Juntos por el Cambio;;10 Seguro votará;Muy importante;1.03463732782369;0.979268073305836;1.0131873025882034;0.679650090709791;0.6886128421100809;1.00269534323067;0.6904688900726147;1.00796058633095;0.695965427280873;0.978831577726991;0.6812329372287763;Probable;Importante
Santa Fe;4;Presencial;Masculino;Más de 50;Nivel Primario, ya sea completo o incompleto;Muy probable;Horacio Rodríguez Larreta – Gerardo Morales de Juntos por el Cambio;;9;Nada importante;0.941521349862259;1.22650294224848;1.1547787057958212;0.679650090709791;0.7848454521438649;0.978716238768085;0.7681409889364805;0.968864316292147;0.7442243940619169;1.02399045775466;0.7620786779476466;Probable;No importante
Santa Fe;4;Presencial;Masculino;30 a 49;Nivel Primario, ya sea completo o incompleto;Poco probable;Horacio Rodríguez Larreta – Gerardo Morales de Juntos por el Cambio;;6;Poco importante;1.03463732782369;1.22650294224848;1.268985726735861;0.679650090709791;0.862466264285458;0.978716238768085;0.8441097382458247;1.00796058633095;0.8508293466899262;1.02399045775466;0.8712411321881157;No probable;No importante
Salta;4;Presencial;Masculino;Más de 50;Nivel Primario, ya sea completo o incompleto;Muy probable;Horacio Rodríguez Larreta – Gerardo Morales de Juntos por el Cambio;;10 Seguro votará;Nada importante;0.941521349862259;1.22650294224848;1.1547787057958212;0.679650090709791;0.7848454521438649;0.978716238768085;0.7681409889364805;0.968864316292147;0.7442243940619169;1.02399045775466;0.7620786779476466;Probable;No importante
Salta;4;Presencial;Masculino;Más de 50;Nivel Primario, ya sea completo o incompleto;Nada probable;Horacio Rodríguez Larreta – Gerardo Morales de Juntos por el Cambio;;1 Ninguna posibilidad;Nada importante;0.941521349862259;1.22650294224848;1.1547787057958212;0.679650090709791;0.7848454521438649;0.978716238768085;0.7681409889364805;0.968864316292147;0.7442243940619169;1.02399045775466;0.7620786779476466;No probable;No importante
Mar del Plata;4;Presencial;Femenino;30 a 49;Nivel Universitario o Terciario, ya sea completo o incompleto;Muy probable;Horacio Rodríguez Larreta – Gerardo Morales de Juntos por el Cambio;;10 Seguro votará;Muy importante;1.03463732782369;0.840537014502872;0.8696509706221537;0.679650090709791;0.5910583610692045;1.02565145013214;0.6062198651433557;1.00796058633095;0.6110457307153663;0.978831577726991;0.5981108566594641;Probable;Importante
Mar del Plata;4;Presencial;Masculino;30 a 49;Nivel Universitario o Terciario, ya sea completo o incompleto;Muy probable;Horacio Rodríguez Larreta – Gerardo Morales de Juntos por el Cambio;;10 Seguro votará;Algo importante;1.03463732782369;0.840537014502872;0.8696509706221537;0.679650090709791;0.5910583610692045;1.02565145013214;0.6062198651433557;1.00796058633095;0.6110457307153663;1.02399045775466;0.6257049975042586;Probable;Importante
Mar del Plata;4;Presencial;Masculino;Más de 50;Nivel Primario, ya sea completo o incompleto;Muy probable;Horacio Rodríguez Larreta – Gerardo Morales de Juntos por el Cambio;;10 Seguro votará;Nada importante;0.941521349862259;1.22650294224848;1.1547787057958212;0.679650090709791;0.7848454521438649;0.978716238768085;0.7681409889364805;0.968864316292147;0.7442243940619169;1.02399045775466;0.7620786779476466;Probable;No importante
La Plata;4;Presencial;Femenino;Más de 50;Nivel Secundario, ya sea completo o incompleto;Muy probable;Horacio Rodríguez Larreta – Gerardo Morales de Juntos por el Cambio;;9;Muy importante;0.941521349862259;0.979268073305836;0.9220017982559243;0.679650090709791;0.6266386058192294;1.00269534323067;0.6283276119435007;0.968864316292147;0.6087642021531173;0.978831577726991;0.5958776244572488;Probable;Importante
La Plata;4;Presencial;Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Muy probable;Horacio Rodríguez Larreta – Gerardo Morales de Juntos por el Cambio;;10 Seguro votará;Poco importante;0.941521349862259;0.840537014502872;0.7913835445039372;0.679650090709791;0.5378638978083369;1.02565145013214;0.5516608867608459;0.968864316292147;0.5344845478766664;0.978831577726991;0.5231703532688149;Probable;No importante
La Plata;4;Presencial;Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Muy probable;Horacio Rodríguez Larreta – Gerardo Morales de Juntos por el Cambio;;9;Nada importante;0.941521349862259;0.840537014502872;0.7913835445039372;0.679650090709791;0.5378638978083369;1.02565145013214;0.5516608867608459;0.968864316292147;0.5344845478766664;0.978831577726991;0.5231703532688149;Probable;No importante
La Plata;4;Presencial;Masculino;30 a 49;Nivel Primario, ya sea completo o incompleto;Muy probable;Horacio Rodríguez Larreta – Gerardo Morales de Juntos por el Cambio;;10 Seguro votará;Algo importante;1.03463732782369;1.22650294224848;1.268985726735861;0.679650090709791;0.862466264285458;0.978716238768085;0.8441097382458247;1.00796058633095;0.8508293466899262;1.02399045775466;0.8712411321881157;Probable;Importante
La Plata;4;Presencial;Masculino;30 a 49;Nivel Universitario o Terciario, ya sea completo o incompleto;Muy probable;Horacio Rodríguez Larreta – Gerardo Morales de Juntos por el Cambio;;10 Seguro votará;Nada importante;1.03463732782369;0.840537014502872;0.8696509706221537;0.679650090709791;0.5910583610692045;1.02565145013214;0.6062198651433557;1.00796058633095;0.6110457307153663;1.02399045775466;0.6257049975042586;Probable;No importante
La Plata;4;Presencial;Femenino;18 a 29;Nivel Universitario o Terciario, ya sea completo o incompleto;Algo probable;Horacio Rodríguez Larreta – Gerardo Morales de Juntos por el Cambio;;8;Poco importante;1.03070018050542;0.840537014502872;0.8663416525695969;0.679650090709791;0.5888091827545968;1.02565145013214;0.6039129921433726;1.02833431789509;0.6210244548437379;0.978831577726991;0.6078783469417405;Probable;No importante
La Plata;4;Presencial;Femenino;30 a 49;Nivel Primario, ya sea completo o incompleto;Muy probable;Horacio Rodríguez Larreta – Gerardo Morales de Juntos por el Cambio;;8;Muy importante;1.03463732782369;1.22650294224848;1.268985726735861;0.679650090709791;0.862466264285458;0.978716238768085;0.8441097382458247;1.00796058633095;0.8508293466899262;0.978831577726991;0.8328186317969255;Probable;Importante
Tucumán;3;Presencial;Femenino;Más de 50;Nivel Secundario, ya sea completo o incompleto;Muy probable;Horacio Rodríguez Larreta – Gerardo Morales de Juntos por el Cambio;;10 Seguro votará;Algo importante;0.941521349862259;0.979268073305836;0.9220017982559243;0.757482346772863;0.6984000858716973;1.00269534323067;0.7002825138154509;0.968864316292147;0.6784787389591528;0.978831577726991;0.6641164145096068;Probable;Importante
Tucumán;3;Presencial;Masculino;18 a 29;Nivel Universitario o Terciario, ya sea completo o incompleto;Muy probable;Horacio Rodríguez Larreta – Gerardo Morales de Juntos por el Cambio;;8;Algo importante;1.03070018050542;0.840537014502872;0.8663416525695969;0.757482346772863;0.6562385080954986;1.02565145013214;0.6730719774607002;1.02833431789509;0.6921430128363486;1.02399045775466;0.708747840545982;Probable;Importante
Tucumán;3;Presencial;Masculino;30 a 49;Nivel Secundario, ya sea completo o incompleto;Muy probable;Horacio Rodríguez Larreta – Gerardo Morales de Juntos por el Cambio;;10 Seguro votará;Poco importante;1.03463732782369;0.979268073305836;1.0131873025882034;0.757482346772863;0.7674714956849792;1.00269534323067;0.7695400947856059;1.00796058633095;0.7756660851452741;1.02399045775466;0.7942746695926742;Probable;No importante
Mendoza;3;Presencial;Masculino;18 a 29;Nivel Secundario, ya sea completo o incompleto;Muy probable;Horacio Rodríguez Larreta – Gerardo Morales de Juntos por el Cambio;;10 Seguro votará;Muy importante;1.03070018050542;0.979268073305836;1.0093317799195198;0.757482346772863;0.7645510053258687;1.00269534323067;0.7666117327025758;1.02833431789509;0.7883331532390764;1.02399045775466;0.8072456264484563;Probable;Importante
Mendoza;3;Presencial;Femenino;30 a 49;Nivel Secundario, ya sea completo o incompleto;Muy probable;Horacio Rodríguez Larreta – Gerardo Morales de Juntos por el Cambio;;10 Seguro votará;Algo importante;1.03463732782369;0.979268073305836;1.0131873025882034;0.757482346772863;0.7674714956849792;1.00269534323067;0.7695400947856059;1.00796058633095;0.7756660851452741;0.978831577726991;0.7592464579120672;Probable;Importante
